,0
大连,"{'新增无症状': '0', '新增本土': '60', '现有确诊': '235', '累计确诊': '397', '累计治愈': '162', '累计死亡': '0'}"
黑河,"{'新增无症状': '0', '新增本土': '2', '现有确诊': '233', '累计确诊': '291', '累计治愈': '58', '累计死亡': '0'}"
德宏州,"{'新增无症状': '1', '新增本土': '2', '现有确诊': '26', '累计确诊': '251', '累计治愈': '225', '累计死亡': '0'}"
上饶,"{'新增无症状': '7', '新增本土': '2', '现有确诊': '15', '累计确诊': '144', '累计治愈': '129', '累计死亡': '0'}"
成都,"{'新增无症状': '0', '新增本土': '1', '现有确诊': '26', '累计确诊': '189', '累计治愈': '160', '累计死亡': '3'}"
哈尔滨,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '4', '累计确诊': '504', '累计治愈': '496', '累计死亡': '4'}"
石家庄,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '55', '累计确诊': '958', '累计治愈': '902', '累计死亡': '1'}"
邢台,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '2', '累计确诊': '96', '累计治愈': '93', '累计死亡': '1'}"
保定,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '2', '累计确诊': '36', '累计治愈': '34', '累计死亡': '0'}"
兰州,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '58', '累计确诊': '119', '累计治愈': '59', '累计死亡': '2'}"
天水,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '31', '累计确诊': '51', '累计治愈': '20', '累计死亡': '0'}"
张掖,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '3', '累计确诊': '17', '累计治愈': '14', '累计死亡': '0'}"
嘉峪关,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '3', '累计确诊': '5', '累计治愈': '2', '累计死亡': '0'}"
郑州,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '55', '累计确诊': '347', '累计治愈': '287', '累计死亡': '5'}"
周口,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '16', '累计确诊': '92', '累计治愈': '75', '累计死亡': '1'}"
商丘,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '5', '累计确诊': '107', '累计治愈': '99', '累计死亡': '3'}"
开封,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '5', '累计确诊': '33', '累计治愈': '28', '累计死亡': '0'}"
驻马店,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '4', '累计确诊': '143', '累计治愈': '139', '累计死亡': '0'}"
安阳,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '1', '累计确诊': '54', '累计治愈': '53', '累计死亡': '0'}"
许昌,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '1', '累计确诊': '40', '累计治愈': '38', '累计死亡': '1'}"
上海,"{'新增境外': '5', '新增本土': '0', '新增确诊': '5', '现有确诊': '67', '累计确诊': '2,787', '累计治愈': '2,713'}"
自贡,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '1', '累计确诊': '10', '累计治愈': '9', '累计死亡': '0'}"
北京,"{'新增境外': '0', '新增本土': '0', '新增确诊': '0', '现有确诊': '41', '累计确诊': '1,185', '累计治愈': '1,135'}"
中山,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '1', '累计确诊': '68', '累计治愈': '67', '累计死亡': '0'}"
杭州,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '1', '累计确诊': '182', '累计治愈': '181', '累计死亡': '0'}"
日照,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '13', '累计确诊': '30', '累计治愈': '17', '累计死亡': '0'}"
银川,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '29', '累计确诊': '68', '累计治愈': '39', '累计死亡': '0'}"
吴忠,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '11', '累计确诊': '39', '累计治愈': '28', '累计死亡': '0'}"
中卫,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '1', '累计确诊': '4', '累计治愈': '3', '累计死亡': '0'}"
阿拉善盟,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '18', '累计确诊': '165', '累计治愈': '147', '累计死亡': '0'}"
天津,"{'新增境外': '5', '新增本土': '0', '新增确诊': '5', '现有确诊': '18', '累计确诊': '518', '累计治愈': '497'}"
西安,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '8', '累计确诊': '135', '累计治愈': '124', '累计死亡': '3'}"
西宁,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '10', '累计确诊': '26', '累计治愈': '16', '累计死亡': '0'}"
重庆,"{'新增境外': '0', '新增本土': '0', '新增确诊': '0', '现有确诊': '7', '累计确诊': '610', '累计治愈': '597'}"
吉林市,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '1', '累计确诊': '49', '累计治愈': '47', '累计死亡': '1'}"
常州,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '3', '累计确诊': '54', '累计治愈': '51', '累计死亡': '0'}"
长沙,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '3', '累计确诊': '247', '累计治愈': '242', '累计死亡': '2'}"
株洲,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '1', '累计确诊': '110', '累计治愈': '109', '累计死亡': '0'}"
遵义,"{'新增无症状': '0', '新增本土': '0', '现有确诊': '2', '累计确诊': '44', '累计治愈': '42', '累计死亡': '0'}"
